variant,key_bits,value_bits,target_load,capacity,inserted,payload_bytes,memory_bytes,actual_load,space_efficiency,memory_mb
flatten-tpht,64,32,0.95,210527,200000,2400000,3102424,0.949997,0.773589,2.96
flatten-tpht,64,32,0.99,202021,200000,2400000,2990488,0.989996,0.802545,2.85
flatten-tpht,64,64,0.05,4000000,200000,3200000,81865587,0.050000,0.039088,78.07
flatten-tpht,64,64,0.10,2000000,200000,3200000,40933816,0.100000,0.078175,39.04
flatten-tpht,64,64,0.15,1333334,200000,3200000,25193031,0.150000,0.127019,24.03
flatten-tpht,64,64,0.20,1000000,200000,3200000,20467104,0.200000,0.156348,19.52
flatten-tpht,64,64,0.25,800000,200000,3200000,18574419,0.250000,0.172280,17.71
flatten-tpht,64,64,0.30,666667,200000,3200000,12597538,0.300000,0.254018,12.01
flatten-tpht,64,64,0.35,571429,200000,3200000,11136286,0.350000,0.287349,10.62
flatten-tpht,64,64,0.40,500000,200000,3200000,10233748,0.400000,0.312691,9.76
flatten-tpht,64,64,0.45,444445,200000,3200000,9661810,0.449999,0.331201,9.21
flatten-tpht,64,64,0.50,400000,200000,3200000,9288232,0.500000,0.344522,8.86
flatten-tpht,64,64,0.55,363637,200000,3200000,6829578,0.549999,0.468550,6.51
flatten-tpht,64,64,0.60,333334,200000,3200000,6298965,0.599999,0.508020,6.01
flatten-tpht,64,64,0.65,307693,200000,3200000,5889021,0.649999,0.543384,5.62
flatten-tpht,64,64,0.70,285715,200000,3200000,5568339,0.699998,0.574678,5.31
flatten-tpht,64,64,0.75,266667,200000,3200000,5317083,0.749999,0.601834,5.07
flatten-tpht,64,64,0.80,250000,200000,3200000,5117070,0.800000,0.625358,4.88
flatten-tpht,64,64,0.85,235295,200000,3200000,4958382,0.849997,0.645372,4.73
flatten-tpht,64,64,0.90,222223,200000,3200000,4831101,0.899997,0.662375,4.61
flatten-tpht,64,64,0.95,210527,200000,3200000,4728615,0.949997,0.676731,4.51
flatten-tpht,64,64,0.99,202021,200000,3200000,4660842,0.989996,0.686571,4.44
